Pin ID,Schedule Date,Schedule Time,Board,Pin Title,Pin Description,Tagged Topics,Destination URL,Image File,Canva Status
W2-PIN-001,2026-06-05,10:00,Small Apartment Organization,7 No-Drill Storage Ideas for Tiny Apartments,"Tiny apartment storage can start with spaces you already have. Use the back of doors, under-bed space, and wall height before buying more furniture.","Home organization; Small spaces; Storage ideas; Apartment organization; Decluttering",https://tidysmallspaces.github.io/guides/no-drill-storage.html,assets/pins/week-02/W2-PIN-001.png,Editable Canva design created
W2-PIN-002,2026-06-05,19:00,Small Apartment Organization,3 Hidden Storage Spots Renters Forget,"Before adding another bin, check behind doors, under furniture, and above eye level. These small-space zones can solve daily clutter without drilling.","Home organization; Small spaces; Storage ideas; Apartment organization; Decluttering",https://tidysmallspaces.github.io/guides/overlooked-storage-spots.html,assets/pins/week-02/W2-PIN-002.png,Editable Canva design created
W2-PIN-003,2026-06-06,10:00,Renter-Friendly Storage Ideas,Use the Back of a Door Without Drilling,"A door can become useful storage without holes or permanent changes. Start with lightweight items and check door clearance first.","Home organization; Storage ideas; Small spaces; Apartment organization; Entryway",https://tidysmallspaces.github.io/guides/no-drill-storage.html,assets/pins/week-02/W2-PIN-003.png,PNG ready
W2-PIN-004,2026-06-06,19:00,Under-Bed Storage Ideas,Before You Buy Another Storage Bin Measure This,"Under-bed storage fails when the container almost fits. Measure height, width, depth, and the pull-out path before choosing bins.","Under bed storage; Bedroom organization; Storage ideas; Small spaces; Home organization",https://tidysmallspaces.github.io/guides/under-bed-fit.html,assets/pins/week-02/W2-PIN-004.png,PNG ready
W2-PIN-005,2026-06-07,10:00,Renter-Friendly Storage Ideas,Small Apartment Storage That Does Not Need Holes,"Use renter-friendly storage ideas that respect your walls and still make daily items easier to return to their place.","Home organization; Small spaces; Storage ideas; Apartment organization; Decluttering",https://tidysmallspaces.github.io/guides/use-wall-height.html,assets/pins/week-02/W2-PIN-005.png,PNG ready
W2-PIN-006,2026-06-07,19:00,Tiny Entryway Organization,The 20-Minute Entryway Reset,"Reset a small apartment entrance by clearing extras, limiting shoes, adding one tray, and giving bags and mail an obvious home.","Entryway; Home organization; Decluttering; Storage ideas; Small spaces",https://tidysmallspaces.github.io/guides/entryway-reset.html,assets/pins/week-02/W2-PIN-006.png,PNG ready
W2-PIN-007,2026-06-08,10:00,Tiny Entryway Organization,Give Keys Bags and Mail One Home,"A tiny entryway works better when keys, bags, shoes, mail, and weather gear each have one simple home.","Entryway; Home organization; Storage ideas; Small spaces; Decluttering",https://tidysmallspaces.github.io/guides/entryway-categories.html,assets/pins/week-02/W2-PIN-007.png,PNG ready
W2-PIN-008,2026-06-08,19:00,Under-Bed Storage Ideas,Under-Bed Storage Measure These 4 Things,"Do not guess under-bed storage dimensions. Check usable height, width and depth, pull-out room, and what belongs inside.","Under bed storage; Bedroom organization; Storage ideas; Small spaces; Home organization",https://tidysmallspaces.github.io/guides/storage-checklist.html,assets/pins/week-02/W2-PIN-008.png,PNG ready
W2-PIN-009,2026-06-09,10:00,Under-Bed Storage Ideas,Why Under-Bed Bins Never Fit,"Most under-bed storage problems start before checkout. Measure the lowest clearance point and leave room to pull the container out.","Under bed storage; Bedroom organization; Storage ideas; Decluttering; Small spaces",https://tidysmallspaces.github.io/guides/under-bed-fit.html,assets/pins/week-02/W2-PIN-009.png,PNG ready
W2-PIN-010,2026-06-09,19:00,Vertical Storage for Small Spaces,A Safer Way to Use Wall Height,"Vertical storage helps small homes, but heavy items belong low and light occasional-use items belong higher.","Home organization; Storage ideas; Shelving; Small spaces; Apartment organization",https://tidysmallspaces.github.io/guides/safer-vertical-storage.html,assets/pins/week-02/W2-PIN-010.png,PNG ready
W2-PIN-011,2026-06-10,10:00,Vertical Storage for Small Spaces,Keep Heavy Items Low Store Light Items High,"Use vertical storage safely by placing heavy items low, daily items within reach, and light seasonal items higher.","Home organization; Storage ideas; Shelving; Small spaces; Decluttering",https://tidysmallspaces.github.io/guides/safer-vertical-storage.html,assets/pins/week-02/W2-PIN-011.png,PNG ready
W2-PIN-012,2026-06-10,19:00,Small Apartment Organization,One Clear Surface Can Calm a Small Room,"Start small. Clearing one surface can make a small room feel more usable and show you what storage problem actually needs solving.","Home organization; Decluttering; Small spaces; Apartment organization; Storage ideas",https://tidysmallspaces.github.io/guides/empty-spaces.html,assets/pins/week-02/W2-PIN-012.png,PNG ready
W2-PIN-013,2026-06-11,10:00,Tiny Entryway Organization,Stop the Daily Pile at the Door,"A daily pile usually means everyday items have no obvious home. Fix keys, bags, shoes, mail, and weather gear first.","Entryway; Home organization; Decluttering; Small spaces; Storage ideas",https://tidysmallspaces.github.io/guides/tiny-entryway.html,assets/pins/week-02/W2-PIN-013.png,PNG ready
W2-PIN-014,2026-06-11,19:00,Renter-Friendly Storage Ideas,Empty Spaces You Can Use This Weekend,"Check the back of doors, under furniture, cabinet doors, closet floors, and narrow gaps before buying extra furniture.","Home organization; Small spaces; Storage ideas; Apartment organization; Decluttering",https://tidysmallspaces.github.io/guides/empty-spaces.html,assets/pins/week-02/W2-PIN-014.png,PNG ready
